Ave Lat	Max Lat	Min Lat	Cycle
83.67	137	44	286
99.31	181	44	443
94.78	152	44	603
97.76	200	44	771
101.6	195	44	934
91.55	169	44	1118
96.17	183	44	1272
103.59	206	44	1424
102.21	200	44	1588
84.92	161	44	1768
89.64	150	44	1949
88.28	157	44	2138
94.28	193	44	2318
104.74	170	44	2494
107.79	185	44	2644
102.86	198	44	2802
95.82	185	44	2960
87.17	159	44	3151
97	164	44	3350
87.47	161	44	3531
91.14	146	44	3730
94.89	201	44	3899
97.83	191	44	4079
97.17	185	44	4243
101.66	207	44	4395
99.15	174	44	4576
95.67	188	44	4722
89.82	160	44	4911
97.54	170	44	5080
92.05	172	44	5245
92.93	157	44	5407
93.78	202	44	5551
100.27	181	44	5729
102.33	213	44	5896
96.07	199	44	6092
89.98	185	44	6274
91.75	162	44	6434
95.09	179	44	6589
94.38	206	44	6758
106.31	228	44	6931
97.87	172	44	7095
90.56	179	44	7262
93.56	149	44	7449
97.65	189	44	7617
97.36	186	44	7775
97.91	205	44	7952
92.4	181	44	8104
88.08	163	44	8267
93.16	180	44	8462
90.23	166	44	8655
101	205	44	8807
98.28	183	44	8986
91.25	203	44	9152
99.38	165	44	9307
98.68	177	44	9465
101.27	219	44	9628
102.07	168	44	9799
95.57	179	44	9952
